trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_f
145,regular,psi,[5],{5: 'equivocate'},0,1,0,[5],1,0,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0]",1,1,1,0,1,1,0,1,0.30749018621867125,0.9186053709941584,,,,0.01,8,1,False,False,1
146,regular,psi,[2],{2: 'equivocate'},0,1,0,[2],1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 1, 1]",0,0,1,0,0,0,0,1,0.462418679463189,0.918605284634943,,,,0.01,8,1,False,False,1
147,regular,psi,[5],{5: 'coherent_flip'},1,0,0,[],0,1,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]",0,1,0,0,0,0,0,0,0.3074901961321386,0.3074901961321386,,,,0.01,8,1,False,False,1
148,regular,psi,[4],{4: 'coherent_flip'},1,0,0,[],0,1,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]",1,1,0,1,0,1,0,0,0.4624187088292415,0.4624187088292415,,,,0.01,8,1,False,False,1
149,regular,psi,[7],{7: 'coherent_flip'},1,0,0,[],0,1,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]",0,0,0,1,0,1,0,0,0.3074902172439567,0.3074902172439567,,,,0.01,8,1,False,False,1
0,regular,psi,"[5, 6]","{5: 'withhold', 6: 'equivocate'}",0,1,1,"[5, 6]",2,0,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]",0,1,1,1,0,1,0,1,0.4624187200275935,0.9186053597958065,,,,0.01,8,2,False,False,2
1,verification,verification,"[3, 5]","{5: 'withhold', 3: 'coherent_flip'}",1,0,1,[5],1,1,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1]",1,0,1,1,1,1,0,0,,,Phi-,False,0.02616541165606418,0.01,8,2,False,False,2
2,regular,psi,"[1, 2]","{1: 'equivocate', 2: 'equivocate'}",0,2,0,"[1, 2]",2,0,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]",1,0,0,1,1,0,0,1,0.3114857819070972,0.918605316187741,,,,0.01,8,2,False,False,2
3,regular,psi,"[2, 5]","{2: 'coherent_flip', 5: 'equivocate'}",1,1,0,[5],1,1,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1]",1,0,0,1,0,0,0,0,0.3114857680573853,0.4624187016824727,,,,0.01,8,2,False,False,2
4,regular,psi,"[3, 7]","{7: 'withhold', 3: 'withhold'}",0,0,2,"[3, 7]",2,0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0]",1,1,1,1,1,1,1,1,0.9186053278145495,0.9186053278145495,,,,0.01,8,2,False,False,2
5,regular,psi,"[4, 8]","{8: 'withhold', 4: 'withhold'}",0,0,2,"[4, 8]",2,0,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]",1,1,1,1,1,1,1,1,0.918605333842182,0.918605333842182,,,,0.01,8,2,False,False,2
6,regular,psi,"[2, 8]","{8: 'withhold', 2: 'withhold'}",0,0,2,"[2, 8]",2,0,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,0.9186053166161979,0.9186053166161979,,,,0.01,8,2,False,False,2
7,regular,psi,"[3, 4]","{3: 'equivocate', 4: 'coherent_flip'}",1,1,0,[3],1,1,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]",1,0,0,1,0,0,0,0,0.3114858279219278,0.4624186744698874,,,,0.01,8,2,False,False,2
